"nrounds","max_depth","eta","train_mse","param_idx"
100,3,0.1,1.68623782041864,1
200,3,0.1,1.21435885412957,2
500,3,0.1,0.569968056793737,3
100,6,0.1,0.365778815509968,4
200,6,0.1,0.124960574847877,5
500,6,0.1,0.00932126433492644,6
100,9,0.1,0.028720691123435,7
200,9,0.1,0.00262071816701085,8
500,9,0.1,8.23829730494583e-06,9
100,3,0.01,4.31458795799529,10
200,3,0.01,3.01843196189538,11
500,3,0.01,2.13290950591833,12
100,6,0.01,2.8770314449818,13
200,6,0.01,1.47833595344299,14
500,6,0.01,0.657836736601098,15
100,9,0.01,2.11773119505821,16
200,9,0.01,0.654793975461177,17
500,9,0.01,0.0927442648773733,18
100,3,0.001,8.40932537626223,19
200,3,0.001,7.58477872298586,20
500,3,0.001,5.8411098336081,21
100,6,0.001,8.13656251888639,22
200,6,0.001,7.07830461373754,23
500,6,0.001,4.82533502799565,24
100,9,0.001,8.00087689670273,25
200,9,0.001,6.8280741307955,26
500,9,0.001,4.3089065968069,27
100,3,0.1,1.5711227201915,1
200,3,0.1,1.07784732463656,2
500,3,0.1,0.501686236772904,3
100,6,0.1,0.30928761609647,4
200,6,0.1,0.109003507550369,5
500,6,0.1,0.00730378075809155,6
100,9,0.1,0.0264346105029463,7
200,9,0.1,0.00306917427766041,8
500,9,0.1,8.75087918318416e-06,9
100,3,0.01,3.96225470472657,10
200,3,0.01,2.8352181676712,11
500,3,0.01,2.0402054998521,12
100,6,0.01,2.68928105157282,13
200,6,0.01,1.37872855714722,14
500,6,0.01,0.633173133893964,15
100,9,0.01,1.99151818059531,16
200,9,0.01,0.611780824669727,17
500,9,0.01,0.0937144341299918,18
100,3,0.001,7.6925932383297,19
200,3,0.001,6.93738215274511,20
500,3,0.001,5.35409089059834,21
100,6,0.001,7.45244286726276,22
200,6,0.001,6.4934541926155,23
500,6,0.001,4.46213107124946,24
100,9,0.001,7.33603971187907,25
200,9,0.001,6.2766765585274,26
500,9,0.001,4.00967142617537,27
100,3,0.1,1.62306339715003,1
200,3,0.1,1.14619714880658,2
500,3,0.1,0.562598562294915,3
100,6,0.1,0.366370208615833,4
200,6,0.1,0.154019927778195,5
500,6,0.1,0.0112644424399834,6
100,9,0.1,0.0239020642079861,7
200,9,0.1,0.00374181268536069,8
500,9,0.1,6.61601654686506e-06,9
100,3,0.01,4.04647608392195,10
200,3,0.01,2.86035364526068,11
500,3,0.01,2.05482790564934,12
100,6,0.01,2.78712104364378,13
200,6,0.01,1.43437632722269,14
500,6,0.01,0.654513435431721,15
100,9,0.01,1.97878997733827,16
200,9,0.01,0.613602967175126,17
500,9,0.01,0.0903340387863962,18
100,3,0.001,7.90682877261638,19
200,3,0.001,7.1334001769251,20
500,3,0.001,5.49897284689232,21
100,6,0.001,7.66462979109362,22
200,6,0.001,6.67720433039355,23
500,6,0.001,4.60654800741427,24
100,9,0.001,7.54444067801193,25
200,9,0.001,6.44212142542093,26
500,9,0.001,4.06442439051845,27
100,3,0.1,1.5999938666589,1
200,3,0.1,1.16761975087978,2
500,3,0.1,0.51703490855057,3
100,6,0.1,0.357145565531078,4
200,6,0.1,0.124381065779725,5
500,6,0.1,0.00789441698717208,6
100,9,0.1,0.0273294594768353,7
200,9,0.1,0.00253635599542062,8
500,9,0.1,5.47588269091006e-06,9
100,3,0.01,4.12312342737579,10
200,3,0.01,2.88323524721708,11
500,3,0.01,2.05493544311995,12
100,6,0.01,2.78650146952738,13
200,6,0.01,1.40862205639772,14
500,6,0.01,0.657460317276059,15
100,9,0.01,2.05741442266867,16
200,9,0.01,0.616882964669563,17
500,9,0.01,0.09393075671537,18
100,3,0.001,8.24950006876477,19
200,3,0.001,7.41975417529369,20
500,3,0.001,5.66342608811467,21
100,6,0.001,8.00360810057825,22
200,6,0.001,6.95963548868716,23
