"ntree","mtry","train_mse","param_idx"
100,17,0.0460249205273338,1
150,17,0.0454220210729184,2
200,17,0.0536887652187183,3
250,17,0.0492634913178589,4
300,17,0.0467938443542476,5
100,22,0.0274944541238584,6
150,22,0.0242549584813123,7
200,22,0.0298385755842529,8
250,22,0.0275678154781836,9
300,22,0.028139361377121,10
100,27,0.0260694840103374,11
150,27,0.0211358964358193,12
200,27,0.0180982108344432,13
250,27,0.0189747720268899,14
300,27,0.0217483182606122,15
100,17,0.0471855764047437,1
150,17,0.0455745569120298,2
200,17,0.0414975858701166,3
250,17,0.0466061821638762,4
300,17,0.0434891689761964,5
100,22,0.0314083433536275,6
150,22,0.0286910107813292,7
200,22,0.0281953961880866,8
250,22,0.0293420259665144,9
300,22,0.0284293125114507,10
100,27,0.0193800790049467,11
150,27,0.0192523432444049,12
200,27,0.0210269465808917,13
250,27,0.0206048812658549,14
300,27,0.0169953951850443,15
100,17,0.0512849523560375,1
150,17,0.0417417919696712,2
200,17,0.0432031070998224,3
250,17,0.044738467739726,4
300,17,0.0460274235573805,5
100,22,0.0309710834601725,6
150,22,0.035062987041265,7
200,22,0.0275703612736238,8
250,22,0.0268864520738204,9
300,22,0.0234013915102317,10
100,27,0.0206054966863267,11
150,27,0.0175618307683634,12
200,27,0.0185689938483003,13
250,27,0.0173576806938103,14
300,27,0.0193638641455621,15
100,17,0.0332645989266234,1
150,17,0.0377271128516262,2
200,17,0.037577135468195,3
250,17,0.0345498301496701,4
300,17,0.035682529298086,5
100,22,0.0211946249762175,6
150,22,0.0226720722736625,7
200,22,0.0219103190857273,8
250,22,0.0218451465956366,9
300,22,0.0215037683758244,10
100,27,0.013341808449074,11
150,27,0.0127748641024014,12
200,27,0.0133897193683409,13
250,27,0.0126125404540842,14
300,27,0.0135464194095636,15
100,17,0.0513286005041856,1
150,17,0.048141246740938,2
200,17,0.0523349819551464,3
250,17,0.0503893767465752,4
300,17,0.0499392217377669,5
100,22,0.0350206445887239,6
150,22,0.0308244131539263,7
200,22,0.0318236895333904,8
250,22,0.0281206229972094,9
300,22,0.0338209099160043,10
100,27,0.0221245526461821,11
150,27,0.0197497391834376,12
200,27,0.0229742911038178,13
250,27,0.0211430834918822,14
300,27,0.0203478046729663,15
100,17,0.0448748170899924,1
150,17,0.0443465172466035,2
200,17,0.0407139413388667,3
250,17,0.0403357104566211,4
300,17,0.0419028370002185,5
100,22,0.0226506242786022,6
