"nrounds","max_depth","eta","train_mse","param_idx"
100,3,0.1,4.86993192973308,1
200,3,0.1,3.94072618354412,2
500,3,0.1,2.21623486024668,3
100,6,0.1,1.67028659904109,4
200,6,0.1,0.699864593645714,5
500,6,0.1,0.0628206038350014,6
100,9,0.1,0.224655975348153,7
200,9,0.1,0.0291859576910918,8
500,9,0.1,7.1113370636575e-05,9
100,3,0.01,12.6889277362092,10
200,3,0.01,7.94452626240198,11
500,3,0.01,5.715785457182,12
100,6,0.01,10.1119830017474,13
200,6,0.01,4.97663668864545,14
500,6,0.01,2.63755881128462,15
100,9,0.01,8.38171885369752,16
200,9,0.01,2.85341003096749,17
500,9,0.01,0.54454856010773,18
100,3,0.001,33.625200129447,19
200,3,0.001,29.2680799522602,20
500,3,0.001,20.1908805583395,21
100,6,0.001,33.0542876626277,22
200,6,0.001,28.2450018854237,23
500,6,0.001,18.2756728411565,24
100,9,0.001,32.7886846822127,25
200,9,0.001,27.7495097892775,26
500,9,0.001,17.190080607012,27
100,3,0.1,4.78707387519038,1
200,3,0.1,3.80400369013603,2
500,3,0.1,2.18737058648634,3
100,6,0.1,1.69045404908034,4
200,6,0.1,0.701182253478582,5
500,6,0.1,0.0623107759506112,6
100,9,0.1,0.203318110318268,7
200,9,0.1,0.0276541954511852,8
500,9,0.1,7.00561179344111e-05,9
100,3,0.01,12.5864427468347,10
200,3,0.01,7.96862887935066,11
500,3,0.01,5.66997411194958,12
100,6,0.01,9.88239306044224,13
200,6,0.01,4.87849590853958,14
500,6,0.01,2.67246273953223,15
100,9,0.01,8.21234865958564,16
200,9,0.01,2.70503324649876,17
500,9,0.01,0.573140450999129,18
100,3,0.001,32.9826140652509,19
200,3,0.001,28.7449188914096,20
500,3,0.001,19.9077369807097,21
100,6,0.001,32.4050346886928,22
200,6,0.001,27.6897767071292,23
500,6,0.001,17.9174622512369,24
100,9,0.001,32.1486779759784,25
200,9,0.001,27.2116879631228,26
500,9,0.001,16.8749435498988,27
100,3,0.1,4.79667345712517,1
200,3,0.1,3.82588023187447,2
500,3,0.1,2.19924819145255,3
100,6,0.1,1.8093299714571,4
200,6,0.1,0.803607659516351,5
500,6,0.1,0.0643216275139473,6
100,9,0.1,0.223322701397761,7
200,9,0.1,0.0268868608131386,8
500,9,0.1,7.55706813810615e-05,9
100,3,0.01,12.4483293759766,10
200,3,0.01,7.83248491196886,11
500,3,0.01,5.64788787236973,12
100,6,0.01,9.78352950236202,13
200,6,0.01,4.93354450077315,14
500,6,0.01,2.71524521024827,15
100,9,0.01,8.15385278526723,16
200,9,0.01,2.82722140755361,17
500,9,0.01,0.625865252429328,18
100,3,0.001,32.5320109598736,19
200,3,0.001,28.3575384635259,20
500,3,0.001,19.6352081692924,21
100,6,0.001,31.9421296634513,22
200,6,0.001,27.2934774602602,23
500,6,0.001,17.6650715442254,24
100,9,0.001,31.702281106905,25
200,9,0.001,26.8289173095658,26
500,9,0.001,16.6504542767184,27
100,3,0.1,4.86844408142091,1
200,3,0.1,3.87878413959302,2
500,3,0.1,2.20142504190345,3
100,6,0.1,1.74348589050726,4
200,6,0.1,0.73895077211104,5
500,6,0.1,0.0583711862593751,6
100,9,0.1,0.230382951765488,7
200,9,0.1,0.026741649057657,8
500,9,0.1,5.58671581724221e-05,9
100,3,0.01,12.7849848392964,10
200,3,0.01,8.10586376252384,11
500,3,0.01,5.88977403675951,12
100,6,0.01,10.0600489813599,13
200,6,0.01,5.10510523375772,14
500,6,0.01,2.77201470026358,15
100,9,0.01,8.31376019806108,16
200,9,0.01,2.82698447192178,17
500,9,0.01,0.602126892387333,18
100,3,0.001,33.3541206434162,19
200,3,0.001,29.0711850796022,20
500,3,0.001,20.1429282460152,21
100,6,0.001,32.7634435267102,22
200,6,0.001,28.0064207677418,23
500,6,0.001,18.1263627865181,24
100,9,0.001,32.5231107340538,25
200,9,0.001,27.533786749219,26
500,9,0.001,17.0844611695755,27
100,3,0.1,5.12189280597193,1
200,3,0.1,4.10516586169321,2
500,3,0.1,2.34440261372025,3
100,6,0.1,1.8027318617807,4
200,6,0.1,0.760420263023512,5
500,6,0.1,0.0744478876118479,6
100,9,0.1,0.222458512343929,7
200,9,0.1,0.0308714872074966,8
500,9,0.1,0.000113163645421127,9
100,3,0.01,13.188242603438,10
200,3,0.01,8.27794213153614,11
500,3,0.01,6.01492130217274,12
100,6,0.01,10.5158152952088,13
