"nrounds","max_depth","eta","train_mse","param_idx"
100,3,0.1,7.14122656489804,1
200,3,0.1,5.56451012506603,2
500,3,0.1,2.97962588935395,3
100,6,0.1,2.10469919605083,4
200,6,0.1,0.901033420806314,5
500,6,0.1,0.0793075735790053,6
100,9,0.1,0.155668352571299,7
200,9,0.1,0.0210682544156951,8
500,9,0.1,6.5441901695429e-05,9
100,3,0.01,22.6121697587238,10
200,3,0.01,13.0241811370489,11
500,3,0.01,8.62080607199749,12
100,6,0.01,17.4948106260149,13
200,6,0.01,7.68638327902605,14
500,6,0.01,3.60707848247461,15
100,9,0.01,14.6577863497362,16
200,9,0.01,4.20937288665479,17
500,9,0.01,0.570805352939643,18
100,3,0.001,62.8752480860666,19
200,3,0.001,54.6084923784069,20
500,3,0.001,37.2483575540038,21
100,6,0.001,61.6735791083678,22
200,6,0.001,52.5109429152905,23
500,6,0.001,33.3454919516622,24
100,9,0.001,61.2462404083233,25
200,9,0.001,51.7090799090525,26
500,9,0.001,31.5804292247525,27
100,3,0.1,6.5713374635177,1
200,3,0.1,5.2486562088775,2
500,3,0.1,2.88855969045977,3
100,6,0.1,2.06410091591852,4
200,6,0.1,0.852645080704378,5
500,6,0.1,0.0770489352714656,6
100,9,0.1,0.171672652826809,7
200,9,0.1,0.0231198075299318,8
500,9,0.1,7.96407153928901e-05,9
100,3,0.01,21.9205451005695,10
200,3,0.01,12.1406034956748,11
500,3,0.01,7.81507594746868,12
100,6,0.01,16.6354234366487,13
200,6,0.01,7.15887423134556,14
500,6,0.01,3.25203019384276,15
100,9,0.01,14.1829986438067,16
200,9,0.01,3.86571598215174,17
500,9,0.01,0.501141296705004,18
100,3,0.001,62.3444502027545,19
200,3,0.001,54.1410238125771,20
500,3,0.001,36.7100235423152,21
100,6,0.001,61.0363117119685,22
200,6,0.001,51.760452751821,23
500,6,0.001,32.4967645122115,24
100,9,0.001,60.5913840066126,25
200,9,0.001,50.9749171088852,26
500,9,0.001,30.8751990673217,27
100,3,0.1,6.58500523074956,1
200,3,0.1,5.15986978998149,2
500,3,0.1,2.85583866277369,3
100,6,0.1,2.18336871936209,4
200,6,0.1,0.854351981286945,5
500,6,0.1,0.0632558017741628,6
100,9,0.1,0.146134705390336,7
200,9,0.1,0.0191587361908134,8
500,9,0.1,4.27386554338612e-05,9
100,3,0.01,21.892160703375,10
