"ntree","mtry","train_mse","param_idx"
100,17,0.0122122799261161,1
150,17,0.010853899124105,2
200,17,0.0105586615970636,3
250,17,0.0114374044977169,4
300,17,0.0106492323173868,5
100,22,0.00696594813863519,6
150,22,0.00568875764205984,7
200,22,0.00570997696481795,8
250,22,0.00564782627473361,9
300,22,0.00581134712533117,10
100,27,0.00330024114504058,11
150,27,0.00322033022929702,12
200,27,0.00336805046018834,13
250,27,0.00308916453069507,14
300,27,0.00335941631081232,15
100,17,0.014275638024797,1
150,17,0.0166695179829753,2
200,17,0.0152894852767472,3
250,17,0.0133691183675799,4
300,17,0.0135544328051891,5
100,22,0.00915517265981733,6
150,22,0.00891436102655164,7
200,22,0.00831546006151698,8
250,22,0.00859793257229829,9
300,22,0.00805097336289387,10
100,27,0.00453383135147133,11
150,27,0.00516936099484187,12
200,27,0.00437635840586947,13
250,27,0.00441358651826484,14
300,27,0.00459036176116183,15
100,17,0.0115989766140283,1
150,17,0.01255423779173,2
200,17,0.0122946885959696,3
250,17,0.0138368969520547,4
300,17,0.0128366178820324,5
100,22,0.00788716012652202,6
150,22,0.00727453067393873,7
200,22,0.0069818592679794,8
250,22,0.0072404709221207,9
300,22,0.00668256125715227,10
100,27,0.00431413047786654,11
150,27,0.00435078931309542,12
200,27,0.00387150188475072,13
250,27,0.00400299682267882,14
300,27,0.0038034323383505,15
100,17,0.0156952795376712,1
150,17,0.0125512262916455,2
200,17,0.0137088503337455,3
250,17,0.0132030229895992,4
300,17,0.0148229872685185,5
100,22,0.00991384443968797,6
150,22,0.00807048025889283,7
200,22,0.00765181496345445,8
250,22,0.00698000283105021,9
300,22,0.00786739442048592,10
100,27,0.00549705667332572,11
150,27,0.00445353939765488,12
200,27,0.00408458041008688,13
250,27,0.00472074898021308,14
300,27,0.00444165486710072,15
100,17,0.0151283700294901,1
150,17,0.0147435334467839,2
200,17,0.0129502250047564,3
250,17,0.0134012224568746,4
300,17,0.0123906774761824,5
100,22,0.00871696770357683,6
150,22,0.00822391697671794,7
200,22,0.00740466670035829,8
250,22,0.00813633772831047,9
300,22,0.00704561753322478,10
100,27,0.00556583419742514,11
150,27,0.00454640622357516,12
200,27,0.00459942676227167,13
250,27,0.0046674872374429,14
300,27,0.00481539380654911,15
100,17,0.014858098633308,1
150,17,0.0134302550982299,2
200,17,0.0129442051702816,3
250,17,0.0133502887392187,4
