"ntree","mtry","train_mse","param_idx"
100,17,0.152905997217466,1
150,17,0.162598786726986,2
200,17,0.137476134287005,3
250,17,0.151539528022577,4
300,17,0.158549535070149,5
100,22,0.115358601606101,6
150,22,0.0863031126155645,7
200,22,0.0692419759540684,8
250,22,0.0913592796714864,9
300,22,0.084834912456311,10
100,27,0.0507987606624174,11
150,27,0.0586840879841028,12
200,27,0.054295708410626,13
250,27,0.0567252196220192,14
300,27,0.0544201319444445,15
100,17,0.134773866097476,1
150,17,0.136421038375895,2
200,17,0.117765042558504,3
250,17,0.11636543319381,4
300,17,0.125820609545,5
100,22,0.0697509972729579,6
150,22,0.0689781432472234,7
200,22,0.0676493438451293,8
250,22,0.0669522811631151,9
300,22,0.0628816145348878,10
100,27,0.0502639413527397,11
150,27,0.0385797155843058,12
200,27,0.0382383356441844,13
250,27,0.0395253543531202,14
300,27,0.0374482004728283,15
100,17,0.143311380898021,1
150,17,0.157147684212751,2
200,17,0.132374026927559,3
250,17,0.147092694430492,4
300,17,0.137051260543506,5
100,22,0.0867232646023591,6
150,22,0.0786866722088336,7
200,22,0.0951191732068113,8
250,22,0.0809141250304413,9
300,22,0.081422674148416,10
100,27,0.0539149879582064,11
150,27,0.0534573329810022,12
200,27,0.0519805147827086,13
250,27,0.0488106076623541,14
300,27,0.0498740464548451,15
100,17,0.143674693176053,1
150,17,0.127896052567788,2
200,17,0.14089153345383,3
250,17,0.137566972560883,4
300,17,0.134368326470806,5
100,22,0.0960259828767121,6
150,22,0.0878428125035232,7
200,22,0.0784913164716515,8
250,22,0.0751530631900049,9
300,22,0.0699606175094423,10
100,27,0.0491668038035895,11
150,27,0.0447936878030045,12
200,27,0.0493052145226882,13
250,27,0.0448360180847284,14
300,27,0.0475134373881349,15
100,17,0.148482770246702,1
150,17,0.126358917956198,2
200,17,0.1235803342985,3
250,17,0.126168184767884,4
300,17,0.130437145802505,5
100,22,0.0777934227232368,6
150,22,0.0830781167026044,7
200,22,0.0778150217905727,8
250,22,0.0624870026255708,9
300,22,0.0710438036917244,10
100,27,0.0447009685676687,11
150,27,0.0438422322742262,12
200,27,0.0426091467053526,13
250,27,0.0416902771042619,14
300,27,0.0427150915303146,15
100,17,0.124499372891299,1
150,17,0.121820683758245,2
200,17,0.142188281220272,3
250,17,0.137625934422882,4
300,17,0.122234521513332,5
100,22,0.0818002737585616,6
150,22,0.0743660053378149,7
200,22,0.0788245670265728,8
250,22,0.0764149170674784,9
300,22,0.070583109752875,10
100,27,0.0554149740851724,11
150,27,0.0487152690928181,12
200,27,0.0429100174641679,13
250,27,0.0446782973630137,14
